col	role
class	outcome
sampleId	ID
sequencing_batch	ID
gender	ID
age	ID
SC2_PCR	ID
SC2_rpm	ID
idseq_sample_name	ID
viral_status	ID
ENSG00000000003	predictor
ENSG00000000419	predictor
ENSG00000000457	predictor
ENSG00000000460	predictor
ENSG00000000938	predictor
ENSG00000000971	predictor
ENSG00000001036	predictor
ENSG00000001084	predictor
ENSG00000001167	predictor
ENSG00000001460	predictor
ENSG00000001461	predictor
ENSG00000001497	predictor
ENSG00000001561	predictor
ENSG00000001617	predictor
ENSG00000001626	predictor
ENSG00000001629	predictor
ENSG00000001630	predictor
ENSG00000001631	predictor
ENSG00000002016	predictor
ENSG00000002330	predictor
ENSG00000002549	predictor
ENSG00000002586	predictor
ENSG00000002587	predictor
ENSG00000002726	predictor
ENSG00000002746	predictor
ENSG00000002822	predictor
ENSG00000002834	predictor
ENSG00000002919	predictor
ENSG00000002933	predictor
ENSG00000003056	predictor
ENSG00000003096	predictor
ENSG00000003147	predictor
ENSG00000003249	predictor
ENSG00000003393	predictor
ENSG00000003400	predictor
ENSG00000003402	predictor
ENSG00000003436	predictor
ENSG00000003509	predictor
ENSG00000003756	predictor
ENSG00000003987	predictor
ENSG00000003989	predictor
ENSG00000004059	predictor
ENSG00000004139	predictor
ENSG00000004142	predictor
ENSG00000004399	predictor
ENSG00000004455	predictor
ENSG00000004468	predictor
ENSG00000004478	predictor
ENSG00000004487	predictor
ENSG00000004534	predictor
ENSG00000004660	predictor
ENSG00000004700	predictor
ENSG00000004766	predictor
ENSG00000004777	predictor
ENSG00000004779	predictor
ENSG00000004799	predictor
ENSG00000004809	predictor
ENSG00000004838	predictor
ENSG00000004846	predictor
ENSG00000004848	predictor
ENSG00000004864	predictor
ENSG00000004866	predictor
ENSG00000004897	predictor
ENSG00000004939	predictor
ENSG00000004961	predictor
ENSG00000004975	predictor
ENSG00000005001	predictor
ENSG00000005007	predictor
ENSG00000005020	predictor
ENSG00000005022	predictor
ENSG00000005059	predictor
ENSG00000005075	predictor
ENSG00000005100	predictor
ENSG00000005108	predictor
ENSG00000005156	predictor
ENSG00000005175	predictor
ENSG00000005187	predictor
ENSG00000005189	predictor
ENSG00000005194	predictor
ENSG00000005206	predictor
ENSG00000005238	predictor
ENSG00000005243	predictor
ENSG00000005249	predictor
ENSG00000005302	predictor
ENSG00000005339	predictor
ENSG00000005379	predictor
ENSG00000005381	predictor
ENSG00000005436	predictor
ENSG00000005448	predictor
ENSG00000005469	predictor
ENSG00000005471	predictor
ENSG00000005483	predictor
ENSG00000005486	predictor
ENSG00000005700	predictor
ENSG00000005801	predictor
ENSG00000005810	predictor
ENSG00000005812	predictor
ENSG00000005844	predictor
ENSG00000005882	predictor
ENSG00000005884	predictor
ENSG00000005889	predictor
ENSG00000005893	predictor
ENSG00000005961	predictor
ENSG00000005981	predictor
ENSG00000006007	predictor
ENSG00000006015	predictor
ENSG00000006016	predictor
ENSG00000006025	predictor
ENSG00000006042	predictor
ENSG00000006047	predictor
ENSG00000006062	predictor
ENSG00000006071	predictor
ENSG00000006118	predictor
ENSG00000006125	predictor
ENSG00000006194	predictor
ENSG00000006210	predictor
ENSG00000006282	predictor
ENSG00000006283	predictor
ENSG00000006327	predictor
ENSG00000006377	predictor
ENSG00000006432	predictor
ENSG00000006451	predictor
ENSG00000006453	predictor
ENSG00000006459	predictor
ENSG00000006468	predictor
ENSG00000006530	predictor
ENSG00000006534	predictor
ENSG00000006555	predictor
ENSG00000006576	predictor
ENSG00000006607	predictor
ENSG00000006611	predictor
ENSG00000006625	predictor
ENSG00000006634	predictor
ENSG00000006638	predictor
ENSG00000006652	predictor
ENSG00000006659	predictor
ENSG00000006695	predictor
ENSG00000006704	predictor
ENSG00000006712	predictor
ENSG00000006715	predictor
ENSG00000006740	predictor
ENSG00000006744	predictor
ENSG00000006747	predictor
ENSG00000006756	predictor
ENSG00000006757	predictor
ENSG00000006831	predictor
ENSG00000006837	predictor
ENSG00000007001	predictor
ENSG00000007047	predictor
ENSG00000007062	predictor
ENSG00000007080	predictor
ENSG00000007129	predictor
ENSG00000007168	predictor
ENSG00000007171	predictor
ENSG00000007174	predictor
ENSG00000007202	predictor
ENSG00000007216	predictor
ENSG00000007237	predictor
ENSG00000007255	predictor
ENSG00000007264	predictor
ENSG00000007306	predictor
ENSG00000007341	predictor
ENSG00000007350	predictor
ENSG00000007372	predictor
ENSG00000007376	predictor
ENSG00000007384	predictor
ENSG00000007392	predictor
ENSG00000007402	predictor
ENSG00000007516	predictor
ENSG00000007520	predictor
ENSG00000007541	predictor
ENSG00000007545	predictor
ENSG00000007866	predictor
ENSG00000007923	predictor
ENSG00000007933	predictor
ENSG00000007944	predictor
ENSG00000007952	predictor
ENSG00000007968	predictor
ENSG00000008018	predictor
ENSG00000008083	predictor
ENSG00000008086	predictor
ENSG00000008118	predictor
ENSG00000008128	predictor
ENSG00000008130	predictor
ENSG00000008226	predictor
ENSG00000008256	predictor
ENSG00000008277	predictor
ENSG00000008282	predictor
ENSG00000008283	predictor
ENSG00000008294	predictor
ENSG00000008300	predictor
ENSG00000008311	predictor
ENSG00000008323	predictor
ENSG00000008324	predictor
ENSG00000008382	predictor
ENSG00000008394	predictor
ENSG00000008405	predictor
ENSG00000008438	predictor
ENSG00000008441	predictor
ENSG00000008513	predictor
ENSG00000008516	predictor
ENSG00000008517	predictor
ENSG00000008710	predictor
ENSG00000008735	predictor
ENSG00000008838	predictor
ENSG00000008853	predictor
ENSG00000008869	predictor
ENSG00000008952	predictor
ENSG00000008988	predictor
ENSG00000009307	predictor
ENSG00000009335	predictor
ENSG00000009413	predictor
ENSG00000009694	predictor
ENSG00000009709	predictor
ENSG00000009724	predictor
ENSG00000009765	predictor
ENSG00000009780	predictor
ENSG00000009790	predictor
ENSG00000009830	predictor
ENSG00000009844	predictor
ENSG00000009950	predictor
ENSG00000009954	predictor
ENSG00000010017	predictor
ENSG00000010030	predictor
ENSG00000010072	predictor
ENSG00000010165	predictor
ENSG00000010219	predictor
ENSG00000010244	predictor
ENSG00000010256	predictor
ENSG00000010270	predictor
ENSG00000010278	predictor
ENSG00000010282	predictor
ENSG00000010292	predictor
ENSG00000010295	predictor
ENSG00000010310	predictor
ENSG00000010318	predictor
ENSG00000010322	predictor
ENSG00000010327	predictor
ENSG00000010361	predictor
ENSG00000010379	predictor
ENSG00000010404	predictor
ENSG00000010539	predictor
ENSG00000010610	predictor
ENSG00000010626	predictor
ENSG00000010671	predictor
ENSG00000010704	predictor
ENSG00000010803	predictor
ENSG00000010810	predictor
ENSG00000010818	predictor
ENSG00000010932	predictor
ENSG00000011007	predictor
ENSG00000011009	predictor
ENSG00000011021	predictor
ENSG00000011028	predictor
ENSG00000011105	predictor
ENSG00000011114	predictor
ENSG00000011132	predictor
ENSG00000011143	predictor
ENSG00000011198	predictor
ENSG00000011201	predictor
ENSG00000011243	predictor
ENSG00000011258	predictor
ENSG00000011260	predictor
ENSG00000011275	predictor
ENSG00000011295	predictor
ENSG00000011304	predictor
ENSG00000011332	predictor
ENSG00000011347	predictor
ENSG00000011376	predictor
ENSG00000011405	predictor
ENSG00000011422	predictor
ENSG00000011426	predictor
ENSG00000011451	predictor
ENSG00000011454	predictor
ENSG00000011465	predictor
ENSG00000011478	predictor
ENSG00000011485	predictor
ENSG00000011523	predictor
