id	Fold1	Fold2	Fold3	Fold4	Fold5
1	analysis	analysis	analysis	assessment	analysis
2	analysis	analysis	analysis	analysis	assessment
3	assessment	analysis	analysis	analysis	analysis
4	analysis	analysis	assessment	analysis	analysis
5	assessment	analysis	analysis	analysis	analysis
6	assessment	analysis	analysis	analysis	analysis
7	analysis	analysis	analysis	assessment	analysis
8	analysis	analysis	analysis	assessment	analysis
9	analysis	assessment	analysis	analysis	analysis
10	analysis	assessment	analysis	analysis	analysis
11	analysis	analysis	analysis	assessment	analysis
12	analysis	analysis	analysis	assessment	analysis
13	analysis	analysis	assessment	analysis	analysis
14	analysis	analysis	analysis	analysis	assessment
15	analysis	analysis	analysis	analysis	assessment
16	analysis	analysis	assessment	analysis	analysis
17	analysis	analysis	assessment	analysis	analysis
18	analysis	analysis	analysis	assessment	analysis
19	analysis	analysis	analysis	assessment	analysis
20	analysis	assessment	analysis	analysis	analysis
21	analysis	analysis	analysis	assessment	analysis
22	assessment	analysis	analysis	analysis	analysis
23	analysis	analysis	analysis	assessment	analysis
24	analysis	analysis	assessment	analysis	analysis
25	analysis	analysis	analysis	assessment	analysis
26	assessment	analysis	analysis	analysis	analysis
27	analysis	analysis	analysis	assessment	analysis
28	analysis	assessment	analysis	analysis	analysis
29	assessment	analysis	analysis	analysis	analysis
30	assessment	analysis	analysis	analysis	analysis
31	analysis	assessment	analysis	analysis	analysis
32	analysis	assessment	analysis	analysis	analysis
33	analysis	analysis	assessment	analysis	analysis
34	analysis	analysis	analysis	analysis	assessment
35	analysis	assessment	analysis	analysis	analysis
36	analysis	analysis	assessment	analysis	analysis
37	analysis	analysis	analysis	assessment	analysis
38	assessment	analysis	analysis	analysis	analysis
39	analysis	analysis	assessment	analysis	analysis
40	assessment	analysis	analysis	analysis	analysis
41	analysis	analysis	assessment	analysis	analysis
42	analysis	analysis	analysis	assessment	analysis
43	analysis	analysis	analysis	analysis	assessment
44	analysis	analysis	analysis	analysis	assessment
45	analysis	analysis	analysis	analysis	assessment
46	analysis	analysis	analysis	assessment	analysis
47	analysis	analysis	analysis	analysis	assessment
48	assessment	analysis	analysis	analysis	analysis
49	analysis	analysis	analysis	analysis	assessment
50	assessment	analysis	analysis	analysis	analysis
51	analysis	analysis	assessment	analysis	analysis
52	analysis	assessment	analysis	analysis	analysis
53	analysis	assessment	analysis	analysis	analysis
54	analysis	analysis	assessment	analysis	analysis
55	analysis	analysis	assessment	analysis	analysis
56	assessment	analysis	analysis	analysis	analysis
57	analysis	assessment	analysis	analysis	analysis
58	analysis	analysis	analysis	analysis	assessment
59	assessment	analysis	analysis	analysis	analysis
60	analysis	analysis	analysis	assessment	analysis
61	analysis	analysis	analysis	assessment	analysis
62	analysis	assessment	analysis	analysis	analysis
63	analysis	analysis	analysis	analysis	assessment
64	assessment	analysis	analysis	analysis	analysis
65	assessment	analysis	analysis	analysis	analysis
66	assessment	analysis	analysis	analysis	analysis
67	analysis	analysis	analysis	analysis	assessment
68	analysis	analysis	assessment	analysis	analysis
69	analysis	assessment	analysis	analysis	analysis
70	analysis	assessment	analysis	analysis	analysis
71	analysis	assessment	analysis	analysis	analysis
72	analysis	analysis	assessment	analysis	analysis
73	analysis	analysis	analysis	analysis	assessment
74	analysis	assessment	analysis	analysis	analysis
75	analysis	analysis	analysis	analysis	assessment
76	analysis	analysis	assessment	analysis	analysis
77	analysis	analysis	analysis	analysis	assessment
78	analysis	analysis	analysis	analysis	assessment
79	analysis	analysis	assessment	analysis	analysis
80	analysis	assessment	analysis	analysis	analysis
81	analysis	analysis	analysis	assessment	analysis
82	analysis	analysis	analysis	analysis	assessment
83	analysis	analysis	analysis	assessment	analysis
84	analysis	assessment	analysis	analysis	analysis
85	analysis	analysis	analysis	analysis	assessment
86	assessment	analysis	analysis	analysis	analysis
87	analysis	analysis	assessment	analysis	analysis
88	analysis	analysis	assessment	analysis	analysis
89	analysis	analysis	analysis	analysis	assessment
90	analysis	assessment	analysis	analysis	analysis
91	analysis	assessment	analysis	analysis	analysis
92	analysis	analysis	analysis	analysis	assessment
93	assessment	analysis	analysis	analysis	analysis
94	assessment	analysis	analysis	analysis	analysis
95	analysis	assessment	analysis	analysis	analysis
96	analysis	analysis	analysis	assessment	analysis
97	analysis	analysis	analysis	analysis	assessment
98	assessment	analysis	analysis	analysis	analysis
99	analysis	analysis	analysis	assessment	analysis
100	analysis	assessment	analysis	analysis	analysis
101	analysis	analysis	analysis	assessment	analysis
102	assessment	analysis	analysis	analysis	analysis
103	assessment	analysis	analysis	analysis	analysis
104	analysis	analysis	analysis	assessment	analysis
105	analysis	analysis	assessment	analysis	analysis
106	analysis	analysis	assessment	analysis	analysis
107	analysis	assessment	analysis	analysis	analysis
108	assessment	analysis	analysis	analysis	analysis
109	analysis	assessment	analysis	analysis	analysis
110	analysis	analysis	assessment	analysis	analysis
111	analysis	analysis	analysis	analysis	assessment
112	analysis	analysis	assessment	analysis	analysis
113	analysis	analysis	analysis	assessment	analysis
114	analysis	analysis	analysis	analysis	assessment
115	assessment	analysis	analysis	analysis	analysis
116	analysis	analysis	analysis	assessment	analysis
117	analysis	analysis	analysis	assessment	analysis
118	assessment	analysis	analysis	analysis	analysis
119	assessment	analysis	analysis	analysis	analysis
120	assessment	analysis	analysis	analysis	analysis
121	assessment	analysis	analysis	analysis	analysis
122	analysis	assessment	analysis	analysis	analysis
