id	initial_split
1	analysis
2	analysis
3	analysis
4	analysis
5	assessment
6	analysis
7	analysis
8	analysis
9	assessment
10	analysis
11	analysis
12	analysis
13	assessment
14	analysis
15	analysis
16	analysis
17	analysis
18	analysis
19	analysis
20	analysis
21	analysis
22	analysis
23	assessment
24	analysis
25	analysis
26	analysis
27	analysis
28	analysis
29	assessment
30	analysis
31	assessment
32	analysis
33	analysis
34	analysis
35	assessment
36	analysis
37	analysis
38	analysis
39	assessment
40	analysis
41	analysis
42	assessment
43	analysis
44	analysis
45	analysis
46	analysis
47	analysis
48	analysis
49	analysis
50	analysis
51	analysis
52	analysis
53	analysis
54	analysis
55	analysis
56	analysis
57	assessment
58	analysis
59	analysis
60	analysis
61	analysis
62	assessment
63	analysis
64	assessment
65	analysis
66	analysis
67	assessment
68	analysis
69	analysis
70	analysis
71	analysis
72	analysis
73	analysis
74	assessment
75	analysis
76	analysis
77	analysis
78	analysis
79	analysis
80	assessment
81	analysis
82	analysis
83	analysis
84	analysis
85	analysis
86	assessment
87	analysis
88	analysis
89	analysis
90	analysis
91	assessment
92	analysis
93	analysis
94	analysis
95	analysis
96	analysis
97	analysis
98	analysis
99	analysis
100	analysis
101	analysis
102	analysis
103	analysis
104	analysis
105	assessment
106	analysis
107	assessment
108	assessment
109	analysis
110	analysis
111	analysis
112	analysis
113	analysis
114	analysis
115	analysis
116	analysis
117	analysis
118	assessment
119	assessment
120	analysis
121	analysis
122	analysis
123	analysis
124	analysis
125	analysis
126	analysis
127	assessment
128	analysis
129	analysis
130	analysis
131	assessment
132	analysis
133	analysis
134	analysis
135	analysis
136	analysis
137	analysis
138	analysis
139	analysis
140	assessment
141	analysis
142	assessment
143	analysis
144	analysis
145	analysis
146	assessment
147	analysis
148	assessment
149	analysis
150	analysis
151	analysis
152	analysis
153	analysis
154	assessment
155	analysis
156	analysis
157	analysis
158	assessment
159	analysis
160	analysis
161	assessment
162	assessment
163	analysis
164	analysis
165	assessment
166	analysis
167	analysis
168	analysis
169	analysis
170	analysis
171	assessment
172	analysis
173	analysis
174	analysis
175	analysis
176	analysis
177	assessment
178	analysis
179	analysis
180	analysis
181	analysis
182	assessment
183	analysis
184	assessment
185	analysis
186	assessment
187	analysis
188	assessment
189	assessment
190	analysis
191	assessment
192	analysis
193	analysis
194	analysis
195	analysis
196	assessment
197	analysis
198	assessment
199	analysis
200	analysis
201	assessment
202	analysis
203	analysis
204	analysis
205	analysis
206	assessment
207	analysis
208	analysis
209	analysis
210	analysis
211	analysis
212	analysis
213	analysis
214	analysis
215	analysis
216	assessment
217	analysis
218	analysis
219	analysis
220	analysis
221	analysis
222	analysis
223	analysis
224	analysis
225	analysis
226	analysis
227	analysis
228	analysis
229	analysis
230	assessment
231	analysis
232	analysis
233	assessment
234	analysis
