.threshold	specificity	sensitivity	model
-Inf	0	1	Information Gain + Lasso
1.9790231675642644e-9	0	1	Information Gain + Lasso
6.004110747470648e-7	0.012048192771084376	1	Information Gain + Lasso
7.329022835289578e-7	0.02409638554216864	1	Information Gain + Lasso
6.524387241801932e-6	0.03614457831325302	1	Information Gain + Lasso
2.1468021254800185e-5	0.048192771084337394	1	Information Gain + Lasso
2.8855833448582224e-5	0.06024096385542166	1	Information Gain + Lasso
4.340343964082116e-5	0.07228915662650603	1	Information Gain + Lasso
5.6214292138756505e-5	0.08433734939759041	1	Information Gain + Lasso
6.355628019139026e-5	0.09638554216867468	1	Information Gain + Lasso
8.637945059541963e-5	0.10843373493975905	1	Information Gain + Lasso
9.401825508814632e-5	0.12048192771084343	1	Information Gain + Lasso
9.70382578522333e-5	0.1325301204819277	1	Information Gain + Lasso
1.096756426611778e-4	0.14457831325301207	1	Information Gain + Lasso
2.1807632078985062e-4	0.15662650602409633	1	Information Gain + Lasso
2.4148872367257823e-4	0.1686746987951807	1	Information Gain + Lasso
2.713018920083021e-4	0.1807228915662651	1	Information Gain + Lasso
2.790796255486283e-4	0.19277108433734935	1	Information Gain + Lasso
3.5239500920403177e-4	0.20481927710843373	1	Information Gain + Lasso
3.983509419257514e-4	0.2168674698795181	1	Information Gain + Lasso
5.595577992272283e-4	0.22891566265060237	1	Information Gain + Lasso
6.550301303241968e-4	0.24096385542168675	1	Information Gain + Lasso
8.164587699704962e-4	0.2530120481927711	1	Information Gain + Lasso
8.619395143160125e-4	0.2650602409638554	1	Information Gain + Lasso
9.515594752523837e-4	0.27710843373493976	1	Information Gain + Lasso
9.738433069682584e-4	0.28915662650602414	1	Information Gain + Lasso
9.91379100200862e-4	0.3012048192771084	1	Information Gain + Lasso
0.0012687204210775072	0.3132530120481928	1	Information Gain + Lasso
0.0012987610489804124	0.32530120481927716	1	Information Gain + Lasso
0.0015052466738045833	0.3373493975903614	1	Information Gain + Lasso
0.0018128336234408682	0.3493975903614458	1	Information Gain + Lasso
0.001858398719552512	0.3614457831325302	1	Information Gain + Lasso
0.0019267320560254486	0.37349397590361444	1	Information Gain + Lasso
0.002166320207813488	0.3855421686746988	1	Information Gain + Lasso
0.002227646152867413	0.3975903614457831	1	Information Gain + Lasso
0.0029848607059920207	0.40963855421686746	1	Information Gain + Lasso
0.0034684389086777623	0.42168674698795183	1	Information Gain + Lasso
0.003674116927097071	0.4337349397590361	1	Information Gain + Lasso
0.0040793597501435075	0.4457831325301205	1	Information Gain + Lasso
0.005362853618420482	0.45783132530120485	1	Information Gain + Lasso
0.006347566222162371	0.4698795180722891	1	Information Gain + Lasso
0.007232869105530448	0.4819277108433735	1	Information Gain + Lasso
0.007729655521439671	0.49397590361445787	1	Information Gain + Lasso
0.009109121113688445	0.5060240963855422	1	Information Gain + Lasso
0.013776383975520279	0.5180722891566265	1	Information Gain + Lasso
0.015415709008019252	0.5301204819277108	1	Information Gain + Lasso
0.016070282753878673	0.5421686746987953	1	Information Gain + Lasso
0.018520477814096492	0.5542168674698795	1	Information Gain + Lasso
0.018522966513953576	0.5662650602409638	1	Information Gain + Lasso
0.018983347086688362	0.5783132530120482	1	Information Gain + Lasso
0.024541121111187003	0.5903614457831325	1	Information Gain + Lasso
0.027129717661260266	0.6024096385542168	1	Information Gain + Lasso
0.027228646777785692	0.6144578313253012	1	Information Gain + Lasso
0.0288220103579524	0.6265060240963856	1	Information Gain + Lasso
0.02984973223781906	0.6385542168674698	1	Information Gain + Lasso
0.031552316407196246	0.6506024096385542	1	Information Gain + Lasso
0.03165283162740029	0.6626506024096386	1	Information Gain + Lasso
0.04079784215114124	0.6746987951807228	1	Information Gain + Lasso
0.05398065194282542	0.6867469879518072	1	Information Gain + Lasso
0.05433939489420403	0.6987951807228916	1	Information Gain + Lasso
0.05443001285163784	0.7108433734939759	1	Information Gain + Lasso
0.06338936359065206	0.7228915662650602	1	Information Gain + Lasso
0.06381090891885044	0.7349397590361446	1	Information Gain + Lasso
0.06435630977451734	0.7469879518072289	1	Information Gain + Lasso
0.07002642429583417	0.7590361445783133	1	Information Gain + Lasso
0.07314850989441202	0.7710843373493976	1	Information Gain + Lasso
0.0760511468091658	0.7831325301204819	1	Information Gain + Lasso
0.092463793944624	0.7951807228915663	1	Information Gain + Lasso
0.10584460724972855	0.8072289156626506	1	Information Gain + Lasso
0.12793644860020836	0.8072289156626506	0.9846153846153847	Information Gain + Lasso
0.1317757270514851	0.8072289156626506	0.9692307692307692	Information Gain + Lasso
0.13783442313270877	0.8072289156626506	0.9538461538461539	Information Gain + Lasso
0.144929352642991	0.8192771084337349	0.9538461538461539	Information Gain + Lasso
0.15095441038133972	0.8313253012048193	0.9538461538461539	Information Gain + Lasso
0.15739659956748397	0.8433734939759037	0.9538461538461539	Information Gain + Lasso
0.1670202397929451	0.8433734939759037	0.9384615384615385	Information Gain + Lasso
0.17222416590129364	0.8433734939759037	0.9230769230769231	Information Gain + Lasso
0.19404269654587913	0.8433734939759037	0.9076923076923077	Information Gain + Lasso
0.20680003711329586	0.8433734939759037	0.8923076923076924	Information Gain + Lasso
0.2366257548328733	0.8433734939759037	0.8769230769230769	Information Gain + Lasso
0.23753487361362802	0.8554216867469879	0.8769230769230769	Information Gain + Lasso
0.24540052530449885	0.8554216867469879	0.8615384615384616	Information Gain + Lasso
0.2499944459513933	0.8554216867469879	0.8461538461538461	Information Gain + Lasso
0.2554099525336676	0.8554216867469879	0.8307692307692308	Information Gain + Lasso
0.2637388737483848	0.8554216867469879	0.8153846153846154	Information Gain + Lasso
0.26425381536318004	0.8554216867469879	0.8	Information Gain + Lasso
0.269031305472449	0.8674698795180723	0.8	Information Gain + Lasso
0.3382524389106659	0.8795180722891567	0.8	Information Gain + Lasso
0.3408334514934942	0.8795180722891567	0.7846153846153846	Information Gain + Lasso
0.34112685380579133	0.891566265060241	0.7846153846153846	Information Gain + Lasso
0.4605617357218136	0.9036144578313253	0.7846153846153846	Information Gain + Lasso
0.4898740691072193	0.9036144578313253	0.7692307692307693	Information Gain + Lasso
0.49797775688618007	0.9036144578313253	0.7538461538461538	Information Gain + Lasso
0.5853749963562926	0.9156626506024097	0.7538461538461538	Information Gain + Lasso
0.6063881559130773	0.9156626506024097	0.7384615384615385	Information Gain + Lasso
0.6126105548018814	0.9156626506024097	0.7230769230769231	Information Gain + Lasso
0.6137604553104626	0.927710843373494	0.7230769230769231	Information Gain + Lasso
0.620518536510395	0.9397590361445783	0.7230769230769231	Information Gain + Lasso
0.6259994577256597	0.9518072289156626	0.7230769230769231	Information Gain + Lasso
0.6598787879427284	0.9518072289156626	0.7076923076923077	Information Gain + Lasso
0.6870533511273885	0.9518072289156626	0.6923076923076923	Information Gain + Lasso
0.8057236961575347	0.963855421686747	0.6923076923076923	Information Gain + Lasso
0.8261221933473385	0.963855421686747	0.676923076923077	Information Gain + Lasso
0.8478034370460332	0.9759036144578314	0.676923076923077	Information Gain + Lasso
0.8519368285183477	0.9759036144578314	0.6615384615384615	Information Gain + Lasso
0.8593743791115356	0.9759036144578314	0.6461538461538462	Information Gain + Lasso
0.8660037880098351	0.9759036144578314	0.6307692307692307	Information Gain + Lasso
0.8703715332705508	0.9759036144578314	0.6153846153846154	Information Gain + Lasso
0.8728741423465926	0.9759036144578314	0.6	Information Gain + Lasso
0.8746983231142389	0.9759036144578314	0.5846153846153846	Information Gain + Lasso
0.8851896082127839	0.9759036144578314	0.5692307692307692	Information Gain + Lasso
0.8911552994625257	0.9759036144578314	0.5538461538461539	Information Gain + Lasso
0.916678463630354	0.9759036144578314	0.5384615384615384	Information Gain + Lasso
0.924147908190653	0.9759036144578314	0.5230769230769231	Information Gain + Lasso
0.9256957839322877	0.9759036144578314	0.5076923076923077	Information Gain + Lasso
0.9306653586299731	0.9759036144578314	0.49230769230769234	Information Gain + Lasso
0.9359191787561427	0.9759036144578314	0.47692307692307695	Information Gain + Lasso
0.9386098715730741	0.9759036144578314	0.46153846153846156	Information Gain + Lasso
0.9409816671482472	0.9759036144578314	0.4461538461538462	Information Gain + Lasso
0.945305769513394	0.9879518072289156	0.4461538461538462	Information Gain + Lasso
0.961047893469007	0.9879518072289156	0.4307692307692308	Information Gain + Lasso
0.9652792830600789	1	0.4307692307692308	Information Gain + Lasso
0.9668275729508657	1	0.4153846153846154	Information Gain + Lasso
0.9752601380833487	1	0.4	Information Gain + Lasso
0.9774212180207393	1	0.38461538461538464	Information Gain + Lasso
0.9780464424340917	1	0.36923076923076925	Information Gain + Lasso
0.9817438903713096	1	0.35384615384615387	Information Gain + Lasso
0.9850866120407448	1	0.3384615384615385	Information Gain + Lasso
0.9867637299927928	1	0.3230769230769231	Information Gain + Lasso
0.9893550709852277	1	0.3076923076923077	Information Gain + Lasso
0.9903709394252995	1	0.2923076923076923	Information Gain + Lasso
0.9907542170331723	1	0.27692307692307694	Information Gain + Lasso
0.9916880458517214	1	0.26153846153846155	Information Gain + Lasso
0.9920965297392373	1	0.24615384615384617	Information Gain + Lasso
0.9925672144215223	1	0.23076923076923078	Information Gain + Lasso
0.9938100371983881	1	0.2153846153846154	Information Gain + Lasso
0.9960608049161463	1	0.2	Information Gain + Lasso
0.9962321713059312	1	0.18461538461538463	Information Gain + Lasso
0.9974252072839919	1	0.16923076923076924	Information Gain + Lasso
0.9984428405223827	1	0.15384615384615385	Information Gain + Lasso
0.9984883050420408	1	0.13846153846153847	Information Gain + Lasso
0.9985276911148658	1	0.12307692307692308	Information Gain + Lasso
0.9989367218412364	1	0.1076923076923077	Information Gain + Lasso
0.9989898924401189	1	0.09230769230769231	Information Gain + Lasso
0.9990687699415653	1	0.07692307692307693	Information Gain + Lasso
0.9995251444969059	1	0.06153846153846154	Information Gain + Lasso
0.9997007996943104	1	0.046153846153846156	Information Gain + Lasso
0.9997405412252925	1	0.03076923076923077	Information Gain + Lasso
0.9997823044694545	1	0.015384615384615385	Information Gain + Lasso
Inf	1	0	Information Gain + Lasso
