.threshold	specificity	sensitivity	model
-Inf	0	1	PCA + Lasso
4.440892098500626e-16	0	1	PCA + Lasso
1.7763568394002505e-15	0.008928571428571397	1	PCA + Lasso
3.019806626980426e-14	0.017857142857142905	1	PCA + Lasso
1.7252865802674933e-13	0.0267857142857143	1	PCA + Lasso
4.57300863843102e-12	0.0357142857142857	1	PCA + Lasso
4.711564471904239e-12	0.044642857142857095	1	PCA + Lasso
9.439560244572931e-12	0.0535714285714286	1	PCA + Lasso
1.464761645308954e-11	0.0625	1	PCA + Lasso
6.326428270142515e-11	0.0714285714285714	1	PCA + Lasso
1.1699685664723347e-10	0.0803571428571429	1	PCA + Lasso
1.5610379655583984e-10	0.0803571428571429	0.9864864864864865	PCA + Lasso
1.6226731069934885e-10	0.0892857142857143	0.9864864864864865	PCA + Lasso
8.755696168094573e-10	0.0982142857142857	0.9864864864864865	PCA + Lasso
1.1364440499761486e-9	0.1071428571428571	0.9864864864864865	PCA + Lasso
2.7945896707848306e-9	0.1160714285714286	0.9864864864864865	PCA + Lasso
6.00854876964263e-9	0.125	0.9864864864864865	PCA + Lasso
1.2795284498601234e-8	0.1339285714285714	0.9864864864864865	PCA + Lasso
1.2965527540487187e-8	0.1428571428571429	0.9864864864864865	PCA + Lasso
1.6137764458079573e-8	0.1517857142857143	0.9864864864864865	PCA + Lasso
2.0559860924862505e-8	0.1607142857142857	0.9864864864864865	PCA + Lasso
2.1189811683086646e-8	0.1696428571428571	0.9864864864864865	PCA + Lasso
3.281007066036068e-8	0.1785714285714286	0.9864864864864865	PCA + Lasso
3.810647364321795e-8	0.1875	0.9864864864864865	PCA + Lasso
5.338859776493621e-8	0.1964285714285714	0.9864864864864865	PCA + Lasso
6.614698089268956e-8	0.2053571428571429	0.9864864864864865	PCA + Lasso
8.40508100896642e-8	0.2142857142857143	0.9864864864864865	PCA + Lasso
1.3076621541152633e-7	0.2232142857142857	0.9864864864864865	PCA + Lasso
2.5183964258435054e-7	0.2321428571428571	0.9864864864864865	PCA + Lasso
3.8823403114562893e-7	0.2410714285714286	0.9864864864864865	PCA + Lasso
7.896347071767451e-7	0.2410714285714286	0.972972972972973	PCA + Lasso
1.5266231379040818e-6	0.2410714285714286	0.9594594594594594	PCA + Lasso
1.7209417924046733e-6	0.25	0.9594594594594594	PCA + Lasso
2.13516123503954e-6	0.2589285714285714	0.9594594594594594	PCA + Lasso
2.1374835469378795e-6	0.2678571428571429	0.9594594594594594	PCA + Lasso
2.247215703965466e-6	0.2767857142857143	0.9594594594594594	PCA + Lasso
2.7811972219682346e-6	0.2857142857142857	0.9594594594594594	PCA + Lasso
5.891128648016775e-6	0.2946428571428571	0.9594594594594594	PCA + Lasso
5.931451055207759e-6	0.3035714285714286	0.9594594594594594	PCA + Lasso
6.019100236343e-6	0.3125	0.9594594594594594	PCA + Lasso
9.704993467529732e-6	0.3214285714285714	0.9594594594594594	PCA + Lasso
1.1292472950397148e-5	0.3303571428571429	0.9594594594594594	PCA + Lasso
1.5570601002545814e-5	0.3392857142857143	0.9594594594594594	PCA + Lasso
1.8626895639584085e-5	0.3392857142857143	0.9459459459459459	PCA + Lasso
2.1601441105412178e-5	0.3482142857142857	0.9459459459459459	PCA + Lasso
3.630698872147953e-5	0.3571428571428571	0.9459459459459459	PCA + Lasso
4.671127629451988e-5	0.3660714285714286	0.9459459459459459	PCA + Lasso
5.937364304298143e-5	0.375	0.9459459459459459	PCA + Lasso
8.819155247286048e-5	0.375	0.9324324324324325	PCA + Lasso
9.222873192271663e-5	0.3839285714285714	0.9324324324324325	PCA + Lasso
1.1936798573253249e-4	0.3928571428571429	0.9324324324324325	PCA + Lasso
2.854071265705471e-4	0.4017857142857143	0.9324324324324325	PCA + Lasso
2.8827159367850186e-4	0.4107142857142857	0.9324324324324325	PCA + Lasso
2.911938398781899e-4	0.4196428571428571	0.9324324324324325	PCA + Lasso
3.05097658703235e-4	0.4285714285714286	0.9324324324324325	PCA + Lasso
3.690237373413785e-4	0.4375	0.9324324324324325	PCA + Lasso
4.374405362859157e-4	0.4375	0.918918918918919	PCA + Lasso
5.287337071336884e-4	0.4464285714285714	0.918918918918919	PCA + Lasso
6.203357370294649e-4	0.4553571428571429	0.918918918918919	PCA + Lasso
6.245896537169227e-4	0.4642857142857143	0.918918918918919	PCA + Lasso
7.7669289577742e-4	0.4732142857142857	0.918918918918919	PCA + Lasso
8.099956106091266e-4	0.4821428571428571	0.918918918918919	PCA + Lasso
9.360169928558371e-4	0.4910714285714286	0.918918918918919	PCA + Lasso
9.69123691743623e-4	0.4910714285714286	0.9054054054054054	PCA + Lasso
0.0011797580636663252	0.4910714285714286	0.8918918918918919	PCA + Lasso
0.0011864409687761812	0.5	0.8918918918918919	PCA + Lasso
0.0012871235917120138	0.5089285714285714	0.8918918918918919	PCA + Lasso
0.0012929093134111946	0.5178571428571428	0.8918918918918919	PCA + Lasso
0.0013812419478930194	0.5267857142857143	0.8918918918918919	PCA + Lasso
0.001497772252643581	0.5357142857142857	0.8918918918918919	PCA + Lasso
0.0016549460768190416	0.5357142857142857	0.8783783783783784	PCA + Lasso
0.0016962477768371897	0.5446428571428572	0.8783783783783784	PCA + Lasso
0.0017632827833437004	0.5535714285714286	0.8783783783783784	PCA + Lasso
0.0018907638798074666	0.5625	0.8783783783783784	PCA + Lasso
0.0020254833335362488	0.5714285714285714	0.8783783783783784	PCA + Lasso
0.0020270000266299215	0.5803571428571428	0.8783783783783784	PCA + Lasso
0.0020851490073080514	0.5892857142857143	0.8783783783783784	PCA + Lasso
0.0025009769136309368	0.5982142857142857	0.8783783783783784	PCA + Lasso
0.0025598601149819933	0.6071428571428572	0.8783783783783784	PCA + Lasso
0.002644333723260006	0.6160714285714286	0.8783783783783784	PCA + Lasso
0.0026450940367090947	0.625	0.8783783783783784	PCA + Lasso
0.0032550006097973316	0.6339285714285714	0.8783783783783784	PCA + Lasso
0.00453215064870971	0.6339285714285714	0.8648648648648649	PCA + Lasso
0.004560680728302069	0.6428571428571428	0.8648648648648649	PCA + Lasso
0.00460162837239686	0.6517857142857143	0.8648648648648649	PCA + Lasso
0.004712894594078976	0.6607142857142857	0.8648648648648649	PCA + Lasso
0.004863321854811864	0.6696428571428572	0.8648648648648649	PCA + Lasso
0.005452688735318456	0.6785714285714286	0.8648648648648649	PCA + Lasso
0.00837850840282317	0.6875	0.8648648648648649	PCA + Lasso
0.008401290397139771	0.6964285714285714	0.8648648648648649	PCA + Lasso
0.00957423581021355	0.7053571428571428	0.8648648648648649	PCA + Lasso
0.010622847368654265	0.7142857142857143	0.8648648648648649	PCA + Lasso
0.01604173378555218	0.7232142857142857	0.8648648648648649	PCA + Lasso
0.020202368830813167	0.7232142857142857	0.8513513513513513	PCA + Lasso
0.0203676452671665	0.7232142857142857	0.8378378378378378	PCA + Lasso
0.021560435918697163	0.7232142857142857	0.8243243243243243	PCA + Lasso
0.025265616519066114	0.7232142857142857	0.8108108108108109	PCA + Lasso
0.030391630493157296	0.7321428571428572	0.8108108108108109	PCA + Lasso
0.033159712825296395	0.7321428571428572	0.7972972972972973	PCA + Lasso
0.03686948700123427	0.7410714285714286	0.7972972972972973	PCA + Lasso
0.04037806857686099	0.75	0.7972972972972973	PCA + Lasso
0.04417997186540856	0.75	0.7837837837837838	PCA + Lasso
0.049808244274354596	0.7589285714285714	0.7837837837837838	PCA + Lasso
0.0688713370159808	0.7678571428571428	0.7837837837837838	PCA + Lasso
0.07109117207705606	0.7767857142857143	0.7837837837837838	PCA + Lasso
0.08007525993533371	0.7767857142857143	0.7702702702702703	PCA + Lasso
