.threshold	specificity	sensitivity	model
-Inf	0	1	Information Gain + Random Forest
8.5e-4	0	1	Information Gain + Random Forest
0.001	0.012048192771084376	1	Information Gain + Random Forest
0.0017	0.02409638554216864	1	Information Gain + Random Forest
0.00175	0.03614457831325302	1	Information Gain + Random Forest
0.0079	0.06024096385542166	1	Information Gain + Random Forest
0.0083	0.07228915662650603	1	Information Gain + Random Forest
0.00905	0.08433734939759041	1	Information Gain + Random Forest
0.01	0.09638554216867468	1	Information Gain + Random Forest
0.0124	0.10843373493975905	1	Information Gain + Random Forest
0.01545	0.12048192771084343	1	Information Gain + Random Forest
0.01915	0.1325301204819277	1	Information Gain + Random Forest
0.02005	0.14457831325301207	1	Information Gain + Random Forest
0.0206	0.15662650602409633	1	Information Gain + Random Forest
0.02185	0.1686746987951807	1	Information Gain + Random Forest
0.02455	0.1807228915662651	1	Information Gain + Random Forest
0.0276	0.19277108433734935	1	Information Gain + Random Forest
0.028	0.20481927710843373	1	Information Gain + Random Forest
0.0282	0.2168674698795181	1	Information Gain + Random Forest
0.03315	0.22891566265060237	1	Information Gain + Random Forest
0.0344	0.24096385542168675	1	Information Gain + Random Forest
0.03495	0.2530120481927711	1	Information Gain + Random Forest
0.0368	0.2650602409638554	1	Information Gain + Random Forest
0.03875	0.27710843373493976	1	Information Gain + Random Forest
0.03995	0.28915662650602414	1	Information Gain + Random Forest
0.0473	0.3012048192771084	1	Information Gain + Random Forest
0.04905	0.3132530120481928	1	Information Gain + Random Forest
0.0554	0.32530120481927716	1	Information Gain + Random Forest
0.0638	0.3373493975903614	1	Information Gain + Random Forest
0.06575	0.3493975903614458	1	Information Gain + Random Forest
0.0664	0.3614457831325302	1	Information Gain + Random Forest
0.06935	0.37349397590361444	1	Information Gain + Random Forest
0.0719	0.3855421686746988	1	Information Gain + Random Forest
0.0763	0.3975903614457831	1	Information Gain + Random Forest
0.07705	0.40963855421686746	1	Information Gain + Random Forest
0.07785	0.42168674698795183	1	Information Gain + Random Forest
0.0838	0.4337349397590361	1	Information Gain + Random Forest
0.0994	0.4457831325301205	1	Information Gain + Random Forest
0.1052	0.45783132530120485	1	Information Gain + Random Forest
0.10635	0.4698795180722891	1	Information Gain + Random Forest
0.1068	0.4819277108433735	1	Information Gain + Random Forest
0.12105	0.49397590361445787	1	Information Gain + Random Forest
0.12405	0.5060240963855422	1	Information Gain + Random Forest
0.12465	0.5180722891566265	1	Information Gain + Random Forest
0.12575	0.5301204819277108	1	Information Gain + Random Forest
0.1263	0.5421686746987953	1	Information Gain + Random Forest
0.1267	0.5542168674698795	1	Information Gain + Random Forest
0.1311	0.5662650602409638	1	Information Gain + Random Forest
0.13655	0.5783132530120482	1	Information Gain + Random Forest
0.13925	0.5903614457831325	1	Information Gain + Random Forest
0.1438	0.5903614457831325	0.9846153846153847	Information Gain + Random Forest
0.1578	0.6024096385542168	0.9846153846153847	Information Gain + Random Forest
0.15945	0.6144578313253012	0.9846153846153847	Information Gain + Random Forest
0.1604	0.6144578313253012	0.9692307692307692	Information Gain + Random Forest
0.1629	0.6265060240963856	0.9692307692307692	Information Gain + Random Forest
0.16535	0.6385542168674698	0.9692307692307692	Information Gain + Random Forest
0.1691	0.6506024096385542	0.9692307692307692	Information Gain + Random Forest
0.17165	0.6626506024096386	0.9692307692307692	Information Gain + Random Forest
0.1839	0.6746987951807228	0.9692307692307692	Information Gain + Random Forest
0.18425	0.6867469879518072	0.9692307692307692	Information Gain + Random Forest
0.1896	0.6987951807228916	0.9692307692307692	Information Gain + Random Forest
0.2026	0.6987951807228916	0.9538461538461539	Information Gain + Random Forest
0.20405	0.7108433734939759	0.9538461538461539	Information Gain + Random Forest
0.20465	0.7228915662650602	0.9538461538461539	Information Gain + Random Forest
0.21895	0.7228915662650602	0.9384615384615385	Information Gain + Random Forest
0.23015	0.7349397590361446	0.9384615384615385	Information Gain + Random Forest
